Source;Target;Type;Weight
1;8;Undirected;3
1;9;Undirected;1
1;10;Undirected;1
1;11;Undirected;1
1;12;Undirected;1
1;13;Undirected;1
8;9;Undirected;1
8;10;Undirected;1
8;11;Undirected;1
8;12;Undirected;1
8;13;Undirected;1
2;1;Undirected;3
2;8;Undirected;3
2;5;Undirected;2
2;6;Undirected;2
2;7;Undirected;1
2;19;Undirected;3
19;1;Undirected;3
19;8;Undirected;3
1;43;Undirected;3
8;43;Undirected;3
19;43;Undirected;3
19;9;Undirected;1
19;10;Undirected;1
19;11;Undirected;1
19;12;Undirected;1
19;13;Undirected;1
2;14;Undirected;2
2;15;Undirected;2
2;16;Undirected;3
2;20;Undirected;3
2;21;Undirected;1
2;22;Undirected;1
2;23;Undirected;1
2;24;Undirected;1
2;25;Undirected;1
2;68;Undirected;1
2;69;Undirected;1
2;70;Undirected;1
68;51;Undirected;1
68;54;Undirected;1
68;55;Undirected;1
68;56;Undirected;1
68;57;Undirected;1
68;58;Undirected;1
69;51;Undirected;1
69;54;Undirected;1
69;55;Undirected;1
69;56;Undirected;1
69;57;Undirected;1
69;58;Undirected;1
70;51;Undirected;1
70;54;Undirected;1
70;55;Undirected;1
70;56;Undirected;1
70;57;Undirected;1
70;58;Undirected;1
68;69;Undirected;3
68;70;Undirected;3
69;70;Undirected;3
2;51;Undirected;3
51;54;Undirected;2
51;55;Undirected;1
51;56;Undirected;2
51;57;Undirected;1
51;58;Undirected;1
55;56;Undirected;1
55;57;Undirected;1
56;57;Undirected;1
51;59;Undirected;1
2;65;Undirected;1
2;66;Undirected;1
65;66;Undirected;2
2;67;Undirected;2
2;63;Undirected;1
65;63;Undirected;1
66;63;Undirected;1
2;61;Undirected;1
63;61;Undirected;2
2;60;Undirected;1
61;60;Undirected;1
67;61;Undirected;1
67;63;Undirected;1
60;45;Undirected;1
60;46;Undirected;1
45;46;Undirected;2
60;49;Undirected;1
60;50;Undirected;1
60;51;Undirected;1
60;52;Undirected;1
47;48;Undirected;2
49;51;Undirected;3
51;52;Undirected;3
52;50;Undirected;3
49;50;Undirected;3
49;52;Undirected;3
51;50;Undirected;3
50;53;Undirected;1
49;53;Undirected;1
2;71;Undirected;3
2;43;Undirected;3
52;53;Undirected;1
51;53;Undirected;1
2;45;Undirected;2
2;46;Undirected;2
2;47;Undirected;2
2;48;Undirected;2
2;49;Undirected;3
2;50;Undirected;3
2;51;Undirected;3
2;52;Undirected;3
2;53;Undirected;1
2;17;Undirected;3
51;71;Undirected;3
2;26;Undirected;3
2;80;Undirected;3
2;81;Undirected;2
2;82;Undirected;2
81;82;Undirected;3
2;83;Undirected;3
2;84;Undirected;3
2;27;Undirected;2
16;27;Undirected;3
27;20;Undirected;2
2;28;Undirected;3
2;29;Undirected;3
2;32;Undirected;2
2;33;Undirected;2
2;34;Undirected;2
2;35;Undirected;2
2;72;Undirected;2
2;73;Undirected;2
2;74;Undirected;2
2;75;Undirected;2
74;75;Undirected;3
2;76;Undirected;3
2;77;Undirected;2
2;78;Undirected;2
47;74;Undirected;2
47;75;Undirected;2
48;74;Undirected;2
48;75;Undirected;2
2;62;Undirected;1
2;64;Undirected;1
2;79;Undirected;1
2;40;Undirected;1
2;41;Undirected;1
2;36;Undirected;1
2;37;Undirected;1
2;38;Undirected;1
2;44;Undirected;1
2;4;Undirected;2
2;9;Undirected;1
2;10;Undirected;1
2;11;Undirected;1
2;12;Undirected;1
2;13;Undirected;1
2;3;Undirected;3
2;31;Undirected;2
2;39;Undirected;1
2;42;Undirected;1
2;54;Undirected;2
2;55;Undirected;1
2;56;Undirected;2
2;57;Undirected;1
2;58;Undirected;1
2;59;Undirected;1
2;85;Undirected;3
2;86;Undirected;2